Stephen Curry - 2016 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
vs 76ers,2,2,33:42:00,21.5,4,7,18.8,1,3,2.5,1,5.5,1,1.5,4.5-7.5,0.6,3.5-10.0,0.35,2.0-2.5,0.8,0.578,25.5,4.7,8.3,24.3,6.5,3,1.2,3
vs Bucks,2,2,37:17:00,27,8.5,7,24.4,2,6.5,1.5,0,4,1.5,2,6.5-10.5,0.619,2.0-7.0,0.286,8.0-9.0,0.889,0.629,29,9.1,7.5,32.2,4.3,1.6,0,9.7
vs Bulls,2,2,34:55:00,26,6,7.5,25.3,1,5,3,0.5,4,0.5,2,5.5-9.0,0.611,3.0-10.0,0.3,6.0-6.0,1,0.601,29.8,6.9,8.6,32.7,4.6,3.4,0.6,6.9
vs Cavaliers,9,9,34:30:00,23.6,5.1,4.1,18.1,1.2,3.9,1.2,0.6,3.8,0.8,3.4,3.1-6.9,0.452,4.4-10.6,0.421,4.0-4.2,0.947,0.61,27.3,5.9,4.8,24,4.4,1.4,0.6,4.9
vs Celtics,2,2,41:46:00,33.5,8,7,19.8,1.5,6.5,1.5,0,8.5,1.5,3,2.0-9.5,0.211,7.0-13.5,0.519,8.5-8.5,1,0.626,32.1,7.7,6.7,26.3,8.1,1.4,0,8.1
vs Clippers,4,4,35:35:00,31.8,5.8,5.5,29,0,5.8,2.5,0,2.8,0.8,2.5,4.0-8.5,0.471,5.0-10.8,0.465,8.8-9.8,0.897,0.674,35.7,6.5,6.2,35.4,3.1,2.8,0,11
vs Grizzlies,4,4,31:40:00,30.3,5.3,5.5,31.8,0.5,4.8,2.8,0.5,2.8,0.5,1.5,5.3-8.0,0.656,5.0-12.8,0.392,4.8-4.8,1,0.662,38.2,6.6,6.9,39.2,3.5,3.5,0.6,6
vs Hawks,1,1,35:48:00,36,6,8,38.2,1,5,3,0,2,1,2,9.0-11.0,0.818,5.0-11.0,0.455,3.0-3.0,1,0.772,40.2,6.7,8.9,48,2.2,3.4,0,3.4
vs Heat,2,2,36:35:00,36.5,4.5,6.5,27.9,1.5,3,1,1,4,1.5,1,7.5-16.5,0.455,5.0-11.5,0.435,6.5-7.0,0.929,0.587,39.9,4.9,7.1,32.3,4.4,1.1,1.1,7.7
vs Hornets,2,2,31:20:00,35,3,4.5,34.3,0,3,1,0,3.5,0,3,6.5-9.0,0.722,6.5-10.5,0.619,2.5-2.5,1,0.85,44.7,3.8,5.7,42.8,4.5,1.3,0,3.2
vs Jazz,4,4,36:19:00,21.3,5.3,7,18.8,1.3,4,2.5,0,3.3,0.8,2.5,3.8-8.5,0.441,3.5-8.8,0.4,3.3-3.8,0.867,0.562,23.4,5.8,7.7,24.5,3.6,2.8,0,4.1
vs Kings,4,4,34:18:00,26,7.5,7.5,27.7,0.5,7,2,0.3,3.3,0,2,3.0-4.8,0.632,4.8-10.8,0.442,5.8-6.5,0.885,0.708,30.3,8.7,8.7,36.7,3.8,2.3,0.3,7.6
vs Knicks,2,2,30:10:00,23.5,5,4,22.1,0,5,1.5,0,2.5,1,1.5,3.0-6.5,0.462,5.5-12.0,0.458,1.0-1.0,1,0.62,31.2,6.6,5.3,28.5,3.3,2,0,1.3
vs Lakers,6,6,28:31:00,21.3,4,6,23.6,1.2,2.8,1.8,0,3,0.2,2,3.5-5.8,0.6,4.3-10.7,0.406,1.3-1.3,1,0.624,29.9,5.6,8.4,30.2,4.2,2.6,0,1.9
vs Magic,2,2,35:41:00,46,10,5.5,43.2,0.5,9.5,2,0.5,5,0,2,8.5-11.5,0.739,8.5-14.0,0.607,3.5-3.5,1,0.851,51.6,11.2,6.2,56.6,5.6,2.2,0.6,3.9
vs Mavericks,3,3,33:46:00,26,6.3,9,31,0.7,5.7,3,0.3,1.3,0.7,1.3,3.7-8.0,0.458,4.7-10.3,0.452,4.7-5.0,0.933,0.633,30.8,7.5,10.7,39.1,1.6,3.6,0.4,5.9
vs Nets,2,2,37:59:00,31,4,4,19.8,0,4,1,0,4,0,1.5,7.0-11.5,0.609,5.0-12.5,0.4,2.0-3.5,0.571,0.607,32.6,4.2,4.2,23.7,4.2,1.1,0,3.7
